,Learners,Learn rate,Depth,F1 Macro Score
62,5.0,17.0,9.0,0.6851109983626997
63,5.0,19.0,3.0,0.5728284307047883
64,5.0,19.0,4.0,0.5971989493272158
65,5.0,19.0,5.0,0.6182172140656622
66,5.0,19.0,6.0,0.6621888648346991
67,5.0,19.0,7.0,0.6327113259300589
68,5.0,19.0,8.0,0.6707460869736204
69,5.0,19.0,9.0,0.6811599781555288
70,5.0,21.0,3.0,0.5671043084396045
71,5.0,21.0,4.0,0.6275753442937296
72,5.0,21.0,5.0,0.6192550073632523
73,5.0,21.0,6.0,0.6480913569452138
74,5.0,21.0,7.0,0.6620725922496524
75,5.0,21.0,8.0,0.6655576739644535
76,5.0,21.0,9.0,0.6823494429982987
77,5.0,23.0,3.0,0.5770990487953561
78,5.0,23.0,4.0,0.62143675669336
79,5.0,23.0,5.0,0.6321120868431328
80,5.0,23.0,6.0,0.6469298300600669
81,5.0,23.0,7.0,0.6555839482016637
82,5.0,23.0,8.0,0.6562011574942236
83,5.0,23.0,9.0,0.6672131290796632
84,5.0,25.0,3.0,0.596917511551426
85,5.0,25.0,4.0,0.6281145044393478
86,5.0,25.0,5.0,0.6467432003279012
87,5.0,25.0,6.0,0.6322469189736242
88,5.0,25.0,7.0,0.6868296431684563
89,5.0,25.0,8.0,0.6876702430009672
90,5.0,25.0,9.0,0.6667000675031485
91,5.0,27.0,3.0,0.5783637355754248
92,5.0,27.0,4.0,0.6193524924434481
93,5.0,27.0,5.0,0.642171141483083
94,5.0,27.0,6.0,0.6330436248931759
95,5.0,27.0,7.0,0.6704818777111559
96,5.0,27.0,8.0,0.676116772889741
97,5.0,27.0,9.0,0.6837864768259999
98,5.0,29.0,3.0,0.5861839418119565
99,5.0,29.0,4.0,0.5821760783969647
100,5.0,29.0,5.0,0.6318100292684469
101,5.0,29.0,6.0,0.6359513643539254
102,5.0,29.0,7.0,0.6683749995500616
103,5.0,29.0,8.0,0.6642076954761392
104,5.0,29.0,9.0,0.6645784837114936
105,5.0,31.0,3.0,0.5988605835831555
106,5.0,31.0,4.0,0.590418565811771
107,5.0,31.0,5.0,0.6521535286622813
108,5.0,31.0,6.0,0.6365560216126325
109,5.0,31.0,7.0,0.663091739045289
110,5.0,31.0,8.0,0.6562981773905526
